fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
Kepler-406,Kepler-406 b,0,2014,2.42629,,,0,,,,,,,,,6.35,1.4,-1.4,0,Mass,1.43,0.03,-0.03,0,11.82,2.7,-2.7,0,19h27m23.53s,291.848044,+44d58m05.6s,44.968224,331,14.09,-12.6,0,5538,75,-75,0,4.41,0.02,-0.02,0,0.019,0.007,-0.007,0,1.07,0.06,-0.06,0,1.07,0.02,-0.02,0,5.84,,,0
Kepler-406,Kepler-406 c,0,2014,4.62332,,,0,,,,,,,,,2.71,1.8,-1.8,0,Mass,0.85,0.03,-0.03,0,24.39,16.13,-16.13,0,19h27m23.53s,291.848044,+44d58m05.6s,44.968224,331,14.09,-12.6,0,5538,75,-75,0,4.41,0.02,-0.02,0,0.019,0.007,-0.007,0,1.07,0.06,-0.06,0,1.07,0.02,-0.02,0,5.84,,,0
Kepler-407,Kepler-407 b,0,2014,0.66931,,,0,,,,,,,,,3.2,,,1,Mass,1.07,0.02,-0.02,0,,,,,19h04m08.72s,286.036347,+49d36m52.2s,49.614506,338.29,2.49,-2.46,0,5476,75,-75,0,4.43,0.06,-0.06,0,-0.049,0.006,-0.006,0,1,0.06,-0.06,0,1.01,0.07,-0.07,0,7.47,,,0
Kepler-407,Kepler-407 c,0,2014,3000,500,-500,0,,,,,,,,,4000,2000,-2000,0,Mass,12.3,,,0,11.8,,,0,19h04m08.72s,286.036347,+49d36m52.2s,49.614506,338.29,2.49,-2.46,0,5476,75,-75,0,4.43,0.06,-0.06,0,-0.049,0.006,-0.006,0,1,0.06,-0.06,0,1.01,0.07,-0.07,0,7.47,,,0
Kepler-408,Kepler-408 b,0,2014,2.46502,,,0,,,,,,,,,5,,,1,Mass,0.82,0.03,-0.03,0,,,,,18h59m08.68s,284.786175,+48d25m23.6s,48.423233,89,2.45,-2.3,0,6104,74,-74,0,4.29,0.03,-0.03,0,0.285,0.002,-0.002,0,1.08,0.07,-0.07,0,1.23,0.03,-0.03,0,6.68,,,0
Kepler-409,Kepler-409 b,0,2014,68.9584,,,0,,,,,,,,,22,,,1,Mass,1.19,0.03,-0.03,0,,,,,19h34m43.01s,293.67919,+46d51m10.0s,46.852764,69,1.55,-1.49,0,5460,75,-75,0,4.5,0.03,-0.03,0,-0.197,0.001,-0.001,0,0.92,0.06,-0.06,0,0.89,0.02,-0.02,0,6.8,,,0
Kepler-41,Kepler-41 b,0,2011,1.8555582,0.00000052,-0.00000052,0,0.03101,0.0004,-0.0004,0,0,,,0,177.98,25.43,-25.43,0,Mass,14.46,0.22,-0.22,0,0.33,0.04,-0.04,0,19h38m03.17s,294.513229,+45d58m53.9s,45.981644,770,100,-100,0,5750,100,-100,0,4.28,0.01,-0.01,0,0.224,0.028,-0.03,0,1.15,0.04,-0.04,0,1.29,0.02,-0.02,0,4.4,1.3,-1.1,0
Kepler-410 A,Kepler-410 A b,0,2013,17.833648,0.000054,-0.000054,0,0.1226,0.0047,-0.0047,0,0.17,0.1,-0.05,0,8.44,,,0,M-R relationship,2.838,0.054,-0.054,0,2.03,,,0,18h52m36.17s,283.150698,+45d08m23.4s,45.139832,132,6.9,-6.9,0,6273,140,-140,0,4.26,0.01,-0.01,0,0.435,0.028,-0.03,0,1.21,0.03,-0.03,0,1.35,0.01,-0.01,0,2.76,0.54,-0.54,0
Kepler-411,Kepler-411 b,0,2013,3.00516,0.00001,-0.00001,0,0.038,0.001,-0.001,0,0,0.35,0,0,4.19,,,0,M-R relationship,1.88,0.2,-0.2,0,3.47,,,0,19h10m25.34s,287.605582,+49d31m23.7s,49.523262,153,3.74,-3.72,0,4974,46,-51,0,4.54,0.07,-0.07,0,-0.509,0.077,-0.111,0,0.83,0.04,-0.1,0,0.79,0.07,-0.06,0,2.69,2.67,-1.1,0
Kepler-411,Kepler-411 c,0,2016,7.83442788,0.00000298,-0.00000298,0,,,,,,,,,10.7,,,0,M-R relationship,3.27,0.12,-0.07,0,1.68,,,0,19h10m25.34s,287.605582,+49d31m23.7s,49.523262,153,3.74,-3.72,0,4974,46,-51,0,4.54,0.07,-0.07,0,-0.509,0.077,-0.111,0,0.83,0.04,-0.1,0,0.79,0.07,-0.06,0,2.69,2.67,-1.1,0
